PCode,Sante ID,District ID,Nom Institute,Operating Organisation,Comment,Y DDS,Commune,Facility Name (English),Departemen,Categorie,Construction Type,X DDS,Source,FID Value,Commune Code,Facility Name (French),Fax,Accuracy,Region ID,Health Center ID,Facility Name (Kreyol),Type,Damage,Telephone,Commune ID,Address,Email,latitude,longitude
95000,6,2,DISPENSAIRE D'ACUL DES PINS,MSPP,,19.49752,OUANAMINTHE,,NORD EST,DISP,,-71.810629,2005 MSPP database with geocodes,0,421,,,,4,4210045,,,,,21,,,19.4975209896,-71.8106291421
95001,3,2,DISPENSAIRE DE CAPOTILLE,MSPP,Multiple records - possible location,19.447666,CAPOTILLE,,NORD EST,DISP,,-71.693153,2005 MSPP database with geocodes,1,422,,,,4,4220046,,,,,22,,,19.4476663372,-71.6931534821
95002,0,3,CENTRE MEDICOSOCIAL DE MONT-ORGANISE,MSPP/CDS,,19.409216,MONT ORGANISE,,NORD EST,C/S,,-71.780972,2005 MSPP database with geocodes,2,423,,,,4,4239001,,,,,31,,,19.4092169784,-71.7809727421
95003,2,3,CENTRE DE SANTE DE TROU DU NORD,MSPP,,19.612026,TROU DU NORD,,NORD EST,C/S,,-72.026717,2005 MSPP database with geocodes,3,431,,,,4,4310048,,,,,31,,,19.6120263203,-72.0267172502
95004,5,3,DISPENSAIRE DE ROCHES PLATES,MSPP,,19.556371,TROU DU NORD,,NORD EST,DISP,,-71.975666,2005 MSPP database with geocodes,4,431,,,,4,4310049,,,,,31,,,19.5563710415,-71.9756669158
95005,0,5,CENTRE DE SANTE BON BERGER,ASSOCIATION DES FEMMES D'OEUVRER AUX ENFANTS DEMUNIS,,18.535889,LEOGANE,,OUEST,C/S,,-72.56015,2005 MSPP database with geocodes,5,121,,,,1,1219002,,,,,21,,,18.5358895372,-72.5601502742
11602,149,5,CENTRE DE SANTE CHRISTIAN VILLE,,,18.524036,GRESSIER,,OUEST,CSL,,-72.553549,2005 MSPP database with geocodes,6,116,,,,1,1160001,,PRI,,,16,,,18.5240360581,-72.5535491566
11603,150,5,FOSADEC,PAM / CRS / AOPS,,18.540878,GRESSIER,,OUEST,CSL,,-72.496915,2005 MSPP database with geocodes,7,116,,,,1,1160002,,PRI,,,16,,,18.5408780135,-72.4969155035
95006,0,1,DISPENSAIRE ZEV ATISAN LAPE,,,18.543708,CARREFOUR,,OUEST,DISP,,-72.44726,2005 MSPP database with geocodes,8,113,,,,1,1139018,,,,,13,,,18.5437080775,-72.4472605568
11606,153,5,DISPENSAIRE DE MORNE A BATEAU,,,18.546771,GRESSIER,,OUEST,DISP,,-72.512367,2005 MSPP database with geocodes,9,116,,,,1,1160004,,PRI,,,16,,,18.5467719712,-72.5123676018
12102,3,5,CENTRE MEDICO - COMMUNAUTAIRE DE DARBONE,EGLISE EPISCOPALE / MSPP,,18.49283,LEOGANE,,OUEST,CSL,,-72.590039,2005 MSPP database with geocodes,10,121,,,,1,1210005,,MIX,,,21,,,18.4928307388,-72.5900393835
95007,5,5,CENTRE DE SANTE FARNESE LOUIS CHARLES DE PASQUA,,,18.427154,LEOGANE,,OUEST,C/S,,-72.642773,2005 MSPP database with geocodes,11,121,,,,1,1210006,,,,,21,,,18.4271546495,-72.6427739306
12104,8,5,HOPITAL CARDINAL LEGER,,,18.513183,LEOGANE,,OUEST,HOP,,-72.609578,2005 MSPP database with geocodes,12,121,,,,1,1210007,,PRI,,,21,,,18.5131834839,-72.6095789733
12105,9,5,CENTRE MATERNO INFANTIL DE LEOGANE,EGLISE EPISCOPALE / MSPP,,18.506258,LEOGANE,,OUEST,CSL,,-72.629139,2005 MSPP database with geocodes,13,121,,,,1,1210008,,MIX,,,21,,,18.5062584594,-72.6291393915
12106,11,5,SANATORIUM DE LEOGANE,,,18.512225,LEOGANE,,OUEST,HOP,,-72.605227,2005 MSPP database with geocodes,14,121,,,,1,1210009,,PUB,,,21,,,18.5122252314,-72.6052278635
95008,0,5,ASILE ST VINCENT DE PAUL,MSPP,,18.514344,LEOGANE,,OUEST,C/S,,-72.608521,2005 MSPP database with geocodes,15,121,,,,1,1219001,,,,,21,,,18.5143442456,-72.6085214283
12108,14,5,HOPITAL STE CROIX,Rev Bertholde Phanor,Multiple records - possible location,18.506972,LEOGANE,,OUEST,HOP,,-72.631325,2005 MSPP database with geocodes,16,121,,,,1,1210011,,PRI,,,21,,,18.5069722895,-72.6313259331
12110,16,5,DISPENSAIRE ST ANTOINE DE FOND D'OIE,ASSOCIATION PAYSAN FOND OIES (APF),,18.389781,LEOGANE,,OUEST,DISP,,-72.579631,2005 MSPP database with geocodes,17,121,,,,1,1210012,,PRI,,,21,,,18.3897813145,-72.5796319725
12111,0,5,DISPENSAIRE DE TROUIN,STE CROIX / MSPP,,18.365145,LEOGANE,,OUEST,DISP,,-72.653408,2005 MSPP database with geocodes,18,121,,,,1,1219006,,PUB,,,21,,,18.3651451886,-72.653408139
12112,18,5,DISPENSAIRE PETIT HARPON,L'EGLISE EPISCOPALE / HOPITAL STE CROIX,,18.373423,LEOGANE,,OUEST,CSL,,-72.621028,2005 MSPP database with geocodes,19,121,,,,1,1210014,,PRI,,,21,,,18.3734230171,-72.6210286701
12109,15,5,BIRE (NEW MISSION),,,18.562316,LEOGANE,,OUEST,CSL,,-72.586138,2005 MSPP database with geocodes,20,121,,,,1,1210015,,PRI,,,21,,,18.5623160668,-72.5861388079
13101,5,9,DP DE BAS BOEN,,,18.581533,CROIX-DES-BOUQUES,,OUEST,DISP,,-72.245563,2005 MSPP database with geocodes,21,131,,,,1,1310016,,PUB,,,31,,,18.5815334255,-72.245563327
13102,7,9,HOPITAL DE BEUDET,MSPP,,18.611548,CROIX-DES-BOUQUES,,OUEST,HOP,,-72.213107,2005 MSPP database with geocodes,22,131,,,,1,1310017,,PUB,,,31,,,18.6115487737,-72.2131077954
13103,12,9,CENTRE DE SANTE DE CROIX-DES-BOUQUETS,,,18.575717,CROIX-DES-BOUQUES,,OUEST,CSL,,-72.227041,2005 MSPP database with geocodes,23,131,,,,1,1310018,,PUB,,,31,,,18.5757175552,-72.2270415596
13104,15,9,CENTRE DE SANTE OPERATION DOUBLE HARVEST,DOUBLE HARVEST,,18.542574,CROIX-DES-BOUQUES,,OUEST,CSL,,-72.19255,2005 MSPP database with geocodes,24,131,,,,1,1310019,,PRI,,,31,,,18.5425746258,-72.1925508618
13105,16,9,CENTRE DE SANTE H.E.L.P. INC DE VAUDREUIL,,,18.588044,CROIX-DES-BOUQUES,,OUEST,CSL,,-72.176675,2005 MSPP database with geocodes,25,131,,,,1,1310020,,PRI,,,31,,,18.588044129,-72.1766750047
13106,17,9,CENTRE SANTE LUCELIA BONTEMPS,FILLES DE LA CHARITE ST VINCENT DE PAUL,,18.612616,CROIX-DES-BOUQUES,,OUEST,CSL,,-72.310061,2005 MSPP database with geocodes,26,131,,,,1,1310021,,PRI,,,31,,,18.6126168103,-72.3100619017
13107,18,9,CENTRE DE SANTE DE TURBE,,,18.536011,CROIX-DES-BOUQUES,,OUEST,CSL,,-72.166626,2005 MSPP database with geocodes,27,131,,,,1,1310022,,PRI,,,31,,,18.536011213,-72.1666265781
95009,20,9,DISPENSAIRE FOYER SAINT CAMILLE,ORDRE RELIGIEUX DES SERVITEURS DES MALADES -CAMILLIENS,,18.615132,CROIX-DES-BOUQUES,,OUEST,DISP,,-72.287802,2005 MSPP database with geocodes,28,131,,,,1,1310023,,,,,31,,,18.6151326534,-72.287802954
13110,21,9,CENTRE DE SANTE BETHEL CAMPECH DUMAY,FONDATION BETHEL D'HAITI,,18.519695,CROIX-DES-BOUQUES,,OUEST,CSL,,-72.1914,2005 MSPP database with geocodes,29,131,,,,1,1310024,,PRI,,,31,,,18.5196950299,-72.1914007663
13111,22,9,CENTRE DE SANTE LIFE LINE,,,18.582405,CROIX-DES-BOUQUES,,OUEST,CSL,,-72.221962,2005 MSPP database with geocodes,30,131,,,,1,1310025,,PRI,,,31,,,18.5824058957,-72.2219621569
95010,0,9,CENTRE MEDICO SOCIAL,FONDATION BON SAMARITAIN EN ACTION,,18.620981,CROIX-DES-BOUQUES,,OUEST,C/S,,-72.278882,2005 MSPP database with geocodes,31,131,,,,1,1319002,,,,,31,,,18.620981622,-72.2788828221
13113,24,9,CENTRE DE SANTE PETITS AMIS DE JESUS,,,18.615249,CROIX-DES-BOUQUES,,OUEST,CSL,,-72.246753,2005 MSPP database with geocodes,32,131,,,,1,1310027,,PRI,,,31,,,18.6152496983,-72.2467538613
95011,1,9,CENTRE DE SANTE DE THOMAZEAU,MSPP,,18.653279,THOMAZEAU,,OUEST,C/S,,-72.093776,2005 MSPP database with geocodes,33,132,,,,1,1320028,,,,,32,,,18.6532798485,-72.093776106
95012,6,9,CENTRE DE SANTE DE L'ETANG,,,18.642754,THOMAZEAU,,OUEST,C/S,,-72.051637,2005 MSPP database with geocodes,34,132,,,,1,1320029,,,,,32,,,18.6427548295,-72.0516378378
13301,4,9,L'EAU DE VIE DE F.P,IFM,,18.491795,GANTHIER,,OUEST,CAL,,-71.952369,2005 MSPP database with geocodes,35,133,,,,1,1330030,,PRI,,,33,,,18.4917958695,-71.9523699779
13302,8,9,CENTRE DE SANTE DE GANTHIER,PAROL ET AKSYON / MSPP,,18.532202,GANTHIER,,OUEST,CSL,,-72.062172,2005 MSPP database with geocodes,36,133,,,,1,1330031,,PRI,,,33,,,18.5322026822,-72.0621726289
13303,11,9,DISPENSAIRE DE SAVANNE CABRI,MEBA,,18.586144,GANTHIER,,OUEST,DISP,,-72.078196,2005 MSPP database with geocodes,37,133,,,,1,1330032,,PRI,,,33,,,18.5861448881,-72.0781964731
13304,14,9,DP de FOPECG,,,18.539467,GANTHIER,,OUEST,DISP,,-72.137783,2005 MSPP database with geocodes,38,133,,,,1,1330033,,PRI,,,33,,,18.539467665,-72.1377833408
95013,3,9,CENTRE DE SANTE DE CORNILLON,,,18.675526,CORNILLON / GRAND-BOIS,,OUEST,C/S,,-71.95158,2005 MSPP database with geocodes,39,134,,,,1,1340034,,,,,34,,,18.6755265581,-71.9515807553
